,App,Rating,Reviews,Installs,Sentiment_Polarity
0,SarashpazPapion (Cooking with Chef Bowls),4.8,1250,"50,000+",
1,Domino's Pizza USA,4.7,1032935,"10,000,000+",0.22697090935988962
2,Tastely,4.7,611136,"10,000,000+",
3,Delicious Recipes,4.7,129737,"1,000,000+",
4,BeyondMenu Food Delivery,4.7,51517,"1,000,000+",0.4087426900584795
5,Recipes Pastries and homemade pies More than 500 recipes for pastries,4.7,14065,"500,000+",
6,Pastry & Cooking (Without Net),4.7,6118,"1,000,000+",
7,Simple Recipes,4.7,3803,"500,000+",
8,Easy Recipes,4.7,2707,"100,000+",0.28477704678362575
9,OpenTable: Restaurants Near Me,4.6,90242,"5,000,000+",
10,DELISH KITCHEN - FREE recipe movies make food fun and easy!,4.6,32997,"1,000,000+",
11,Kitchen Stories - Recipes & Cooking,4.6,22015,"1,000,000+",
12,My Recipes Cookbook : RecetteTek,4.6,11707,"100,000+",
13,EatStreet Food Delivery App,4.6,7690,"100,000+",0.3832653026403026
14,"Eat Fast Prepare ""Without Internet""",4.6,4925,"1,000,000+",
15,My CookBook Pro (Ad Free),4.6,2129,"10,000+",
16,Easy and quick desserts,4.6,1398,"100,000+",
17,Starbucks,4.5,455377,"10,000,000+",
18,Grubhub: Food Delivery,4.5,155944,"5,000,000+",0.12273932938406622
19,Cookpad,4.5,131569,"10,000,000+",0.2574367684784351
20,Talabat: Food Delivery,4.5,116403,"5,000,000+",
21,DoorDash - Food Delivery,4.5,104504,"1,000,000+",0.07240710302429051
22,Yummly Recipes & Shopping List,4.5,91359,"1,000,000+",
23,Allrecipes Dinner Spinner,4.5,61881,"5,000,000+",0.2729995443153338
24,Seamless Food Delivery/Takeout,4.5,35218,"1,000,000+",
25,My CookBook (Recipe Manager),4.5,22071,"1,000,000+",
26,ChefTap Recipes & Grocery List,4.5,9066,"500,000+",
27,Whataburger,4.5,5093,"500,000+",
28,BURGER KING® Puerto Rico,4.5,2448,"100,000+",
29,Pizza Hut,4.4,321134,"10,000,000+",
30,Delivery yogi.,4.4,90042,"10,000,000+",
31,Instacart: Grocery Delivery,4.4,17071,"1,000,000+",
32,Recipe Keeper,4.4,1962,"100,000+",
33,Zomato - Restaurant Finder and Food Delivery App,4.3,511228,"10,000,000+",
34,"Delivery Club-food delivery: pizza, sushi, burger, salad",4.3,151080,"5,000,000+",
35,Delivery trough - delivery trough delivery trough,4.3,58316,"5,000,000+",
36,Eat24 Food Delivery & Takeout,4.3,40116,"1,000,000+",0.1716105214230214
37,TheFork - Restaurants booking and special offers,4.3,37517,"5,000,000+",
38,"BigOven Recipes, Meal Planner, Grocery List & More",4.3,31986,"1,000,000+",0.3282224025974026
39,GialloZafferano: Recipes,4.3,30224,"1,000,000+",
40,Chick-fil-A,4.3,28008,"5,000,000+",
41,SONIC Drive-In,4.3,19314,"1,000,000+",
42,Uber Eats: Local Food Delivery,4.2,333208,"10,000,000+",
43,Dunkin' Donuts,4.2,68103,"1,000,000+",0.1965599297808238
44,Panera Bread,4.2,10159,"1,000,000+",
45,Dr. Oetker recipe ideas,4.2,8509,"1,000,000+",
46,Caviar - Food Delivery,4.2,3755,"100,000+",0.21737478089040588
47,Foursquare City Guide,4.1,483960,"10,000,000+",0.20027867965367965
48,Cookpad - FREE recipe search makes fun cooking · musical making!,4.1,64784,"10,000,000+",
49,Cookbook Recipes,4.1,46539,"5,000,000+",0.565437038093288
50,Chef - Recipes & Cooking,4.1,32405,"5,000,000+",
51,Frigo Magic: Easy recipe idea and anti-waste,4.1,2473,"500,000+",
52,"delivery.com: Order Food, Alcohol & Laundry",4.1,1920,"100,000+",
53,Paprika Recipe Manager,4.1,1268,"50,000+",
